Empresa,Tipo,Anio,Mes,NumTrabajadores,HHT,DP,NM,FAI,MTI,MWD,LTI,Fatalidad,DiasIncapAT,Cargados,CasosEG,IncapacidadEG,CasosEL
Atlas Cop Colombia,Contratista,2024,12,1,25,0,0,0,0,0,0,0,0,0,0,0,0
Automatizacion y Peso,Contratista,2024,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Bandas servicios y mangueras,Contratista,2024,12,5,150,0,0,0,0,0,0,0,0,0,0,0,0
Brillaseo S.A.,Contratista,2024,12,15,2481,0,0,0,0,0,0,0,0,0,0,0,0
Codificado y etiquetrados,Contratista,2024,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Clima Frio Rt S.A.S,Contratista,2024,12,6,57,0,0,0,0,0,0,0,0,0,0,0,0
Compañia de seguros bolivar,Contratista,2024,12,1,177,0,0,0,0,0,0,0,0,0,0,0,0
Canac,Contratista,2024,12,8,299,0,0,0,0,0,0,0,0,0,0,0,0
Colcranes,Contratista,2024,12,3,10,0,0,0,0,0,0,0,0,0,0,0,0
Energia y maquinado,Contratista,2024,12,7,370,0,0,0,0,0,0,0,0,0,0,0,0
Tradelca,Contratista,2024,12,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Ferrerodo,Contratista,2024,12,7,64,0,0,0,0,0,0,0,0,0,0,0,0
Geofuturo S.A.S,Contratista,2024,12,6,649,0,0,0,0,0,0,0,0,0,0,0,0
Lnequipos,Contratista,2024,12,1,60,0,0,0,0,0,0,0,0,0,0,0,0
Iteco,Contratista,2024,12,7,188,0,0,0,0,0,0,0,0,0,0,0,0
Maxitempo,Contratista,2024,12,17,4080,0,0,0,0,0,0,0,0,0,0,0,0
MCS Colombia,Contratista,2024,12,2,150,0,0,0,0,0,0,0,0,0,0,0,0
Nelec A&C Sas,Contratista,2024,12,12,1715,0,0,0,0,0,0,0,0,0,0,0,0
Proelect Soluciones Industriales S.A,Contratista,2024,12,9,284,0,0,0,0,0,0,0,0,0,0,0,0
Induagro,Contratista,2024,12,2,16,0,0,0,0,0,0,0,0,0,0,0,0
QuironPrevencion,Contratista,2024,12,1,186,0,0,0,0,0,0,0,0,0,0,0,0
Ramírez & Serna R&S Ingeniería S.A.S,Contratista,2024,12,7,537,0,0,0,0,0,0,0,0,0,0,0,0
RR Mantenimientos Y Metalmecánica De La Costa S.A.S,Contratista,2024,12,15,2008,0,0,0,0,0,0,0,0,0,0,0,0
Compas Group,Contratista,2024,12,12,1191,0,0,0,0,0,0,0,0,0,0,0,0
Seguridad Andina - Andina De Seguridad Del Valle Limitada,Contratista,2024,12,19,1512,0,0,0,0,0,0,0,0,0,0,0,0
GH Gruas,Contratista,2024,12,3,16,0,0,0,0,0,0,0,0,0,0,0,0
Tns Ingenieria S.A.S,Contratista,2024,12,8,236,0,0,0,0,0,0,0,0,0,0,0,0
Servicio Técnico Inkjet Sas,Contratista,2024,12,6,282,0,0,0,0,0,0,0,0,0,0,0,0
Supply Logistics S.A.S,Contratista,2024,12,51,9631,0,0,0,0,0,0,0,0,0,0,0,0
ABEL QUINTERO Y CIA SAS,Contratista,2025,1,6,277,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACIÓN Y PESO SAS,Contratista,2025,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,1,6,100,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO BARRANQUILLA,Contratista,2025,1,15,2701,0,0,0,0,0,0,0,0,0,0,0,0
CARPAS I.K.L S.A.S,Contratista,2025,1,3,15,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,1,8,275,0,0,0,0,0,0,0,0,0,0,0,0
CODIFICACIÓN Y ETIQUETADO S.A,Contratista,2025,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0
COLCRANES SAS,Contratista,2025,1,6,40,0,0,0,0,0,0,0,0,0,0,0,0
COMPASS GROUP SERVICES COLOMBIA S.A,Contratista,2025,1,11,1608,0,0,0,0,0,0,0,0,0,0,0,0
ENERGIA Y MAQUINADO LTDA,Contratista,2025,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
FERRETODO L&A SAS,Contratista,2025,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,1,6,657,0,0,0,0,0,0,0,0,0,0,0,0
GH PUENTES GRUA COLOMBIA S.A.S,Contratista,2025,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0
GRUAS Y EQUIPOS DEL NORTE SAS,Contratista,2025,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
IMPORTACION TECNICA ESTUDIOS Y COMERCIALIZACION S.A,Contratista,2025,1,4,43,0,0,0,0,0,0,0,0,0,0,0,0
INGENIERIA CANAC,Contratista,2025,1,6,92,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LNEQUIPOS,Contratista,2025,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,1,2,219,0,0,0,0,0,0,0,0,0,0,0,0
METROLOGIA GLOBAL SAS,Contratista,2025,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,1,11,1322,0,0,0,0,0,0,0,0,0,0,0,0
PREMAC,Contratista,2025,1,2,101,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT BARRANQUILLA,Contratista,2025,1,7,1628,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2025,1,2,321,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2025,1,8,486,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2025,1,17,1720,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA BARRANQUILLA,Contratista,2025,1,17,2154,0,0,0,0,0,0,0,0,0,0,0,0
Servicio Tecnico Inkjet SAS,Contratista,2025,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS INTEGRALES ENERGETICOS SEINER,Contratista,2025,1,3,33,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS TECNICOS DE EQUIPOS Y MAQUINARIA PE,Contratista,2025,1,4,294,0,0,0,0,0,0,0,0,0,0,0,0
SPECIALIZED SERVICES COMPANY SAS,Contratista,2025,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
SUPPLY LOGISTIC BARRANQUILLA,Contratista,2025,1,51,11014,0,0,0,0,0,0,0,0,0,14,31,0
TNS INGENIERIA SAS,Contratista,2025,1,7,38,0,0,0,0,0,0,0,0,0,0,0,0
ABEL QUINTERO Y CIA SAS,Contratista,2025,2,8,577,0,0,0,0,0,0,0,0,0,0,0,0
ATLAS COP COLOMBIA LTDA,Contratista,2025,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACION Y EQUIPOS DE CONTROL SAS,Contratista,2025,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACIÓN Y PESO SAS,Contratista,2025,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,2,5,20,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2025,2,15,2172,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,2,2,62,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2025,2,1,114,0,0,0,0,0,0,0,0,0,0,0,0
COMPASS GROUP SERVICES COLOMBIA S.A,Contratista,2025,2,12,1866,0,0,0,0,0,0,0,0,0,0,0,0
ENERGIA Y MAQUINADO LTDA,Contratista,2025,2,5,25,0,0,0,0,0,0,0,0,0,0,0,0
EQUISERVICIOS DE LA COSTA SAS,Contratista,2025,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GEINCOR,Contratista,2025,2,5,64,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,2,5,662,0,0,0,0,0,0,0,0,0,0,0,0
GH,Contratista,2025,2,3,34,0,0,0,0,0,0,0,0,0,0,0,0
IMPORTACION TECNICA ESTUDIOS Y COMERCIALIZACION S.A,Contratista,2025,2,4,22,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2025,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,2,1,180,0,0,0,0,0,0,0,0,0,0,0,0
METROLOGIA GLOBAL SAS,Contratista,2025,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,2,11,1024,0,0,0,0,0,0,0,0,0,0,0,0
PREMAC,Contratista,2025,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT SOLUCIONES INDUSTRIALES S.A,Contratista,2025,2,7,1233,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2025,2,2,365,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2025,2,7,172,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2025,2,13,997,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA - ANDINA DE SEGURIDAD DEL VALLE LIMITADA,Contratista,2025,2,20,2208,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIO TECNICO INKJET SAS,Contratista,2025,2,2,136,0,0,0,0,0,0,0,0,0,0,0,0
SERVIMETERS.S.A.S,Contratista,2025,2,3,440,0,0,0,0,0,0,0,0,0,0,0,0
SUPPLY LOGISTICS S.A.S,Contratista,2025,2,56,10577,0,0,0,0,0,0,0,0,0,20,63,0
ZONAS COSTERAS S.A.S,Contratista,2025,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ABEL QUINTERO Y CIA SAS,Contratista,2025,3,6,301,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACION Y EQUIPOS DE CONTROL SAS,Contratista,2025,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACIÓN Y PESO SAS,Contratista,2025,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,3,4,13,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2025,3,18,2604,0,0,0,0,0,0,0,0,0,0,0,0
CARPAS I.K.L S.A.S,Contratista,2025,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,3,9,133,0,0,0,0,0,0,0,0,0,0,0,0
CODIFICACIÓN Y ETIQUETADO S.A,Contratista,2025,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2025,3,2,175,0,0,0,0,0,0,0,0,0,0,0,0
COMPASS GROUP SERVICES COLOMBIA S.A,Contratista,2025,3,10,1475,0,0,0,0,0,0,0,0,0,0,0,0
ENERGIA Y MAQUINADO LTDA,Contratista,2025,3,9,43,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,3,4,530,0,0,0,0,0,0,0,0,0,0,0,0
GH PUENTES GRUA COLOMBIA S.A.S,Contratista,2025,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0
LILIANA LUCENA ALVAREZ,Contratista,2025,3,1,52,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,3,1,132,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,3,10,433,0,0,0,0,0,0,0,0,0,0,0,0
OGA SISTEMVAC S.A.S,Contratista,2025,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0
PREMAC,Contratista,2025,3,2,24,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT BARRANQUILLA,Contratista,2025,3,7,333,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2025,3,2,366,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2025,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2025,3,9,696,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA BARRANQUILLA,Contratista,2025,3,17,3165,0,0,0,0,0,0,0,0,0,0,0,0
Servicio Tecnico Inkjet SAS,Contratista,2025,3,3,154,0,0,0,0,0,0,0,0,0,0,0,0
SUPPLY LOGISTIC BARRANQUILLA,Contratista,2025,3,51,8500,0,0,1,0,0,0,0,0,0,22,46,0
ABEL QUINTERO Y CIA SAS,Contratista,2025,4,6,195,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO BARRANQUILLA,Contratista,2025,4,14,2614,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,4,3,265,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2025,4,2,25,0,0,0,0,0,0,0,0,0,0,0,0
Compañia de Seguros Bolivar SA,Contratista,2025,4,2,231,0,0,0,0,0,0,0,0,0,0,0,0
ENERGIA Y MAQUINADO LTDA,Contratista,2025,4,6,43,0,0,0,0,0,0,0,0,0,0,0,0
EXPERT SOLUTIONS SERVICE SAS,Contratista,2025,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GEINCOR,Contratista,2025,4,4,149,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,4,3,578,0,0,0,0,0,0,0,0,0,0,0,0
Industria y Tecnología Sumtek,Contratista,2025,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2025,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0
LILIANA LUCENA ALVAREZ,Contratista,2025,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,4,1,191,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,4,3,24,0,0,0,0,0,0,0,0,0,0,0,0
COMPASS GROUP SERVICES COLOMBIA S.A,Contratista,2025,4,13,1468,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT BARRANQUILLA,Contratista,2025,4,6,133,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2025,4,2,341,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2025,4,6,127,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2025,4,8,642,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA BARRANQUILLA,Contratista,2025,4,23,5418,0,0,0,0,0,0,0,0,0,0,0,0
Servicio Tecnico Inkjet SAS,Contratista,2025,4,2,284,0,0,0,0,0,0,0,0,0,0,0,0
SUPPLY LOGISTIC BARRANQUILLA,Contratista,2025,4,46,8954,0,0,0,0,0,0,0,0,0,9,14,0
TNS INGENIERIA SAS,Contratista,2025,4,6,101,0,0,0,0,0,0,0,0,0,0,0,0
ABEL QUINTERO Y CIA SAS,Contratista,2025,5,5,108,0,0,0,0,0,0,0,0,0,0,0,0
ADECCO,Contratista,2025,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0
ANALQUIM,Contratista,2025,5,7,131,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACIÓN Y PESO SAS,Contratista,2025,5,5,16,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,5,5,128,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2025,5,15,2473,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,5,6,74,0,0,0,0,0,0,0,0,0,0,0,0
CODIFICACIÓN Y ETIQUETADO S.A,Contratista,2025,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2025,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2025,5,2,158,0,0,0,0,0,0,0,0,0,0,0,0
EGV GROUP S.A.S,Contratista,2025,5,5,68,0,0,0,0,0,0,0,0,0,0,0,0
ENERGIA Y MAQUINADO LTDA,Contratista,2025,5,8,76,0,0,0,0,0,0,0,0,0,0,0,0
FUNDACION PROTECCION DEL AMBIENTE Y SALUD FAS,Contratista,2025,5,2,62,0,0,0,0,0,0,0,0,0,0,0,0
GEINCOR,Contratista,2025,5,6,69,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,5,7,640,0,0,0,0,0,0,0,0,0,0,0,0
GH PUENTES GRUA COLOMBIA S.A.S,Contratista,2025,5,3,30,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2025,5,3,32,0,0,0,0,0,0,0,0,0,0,0,0
LILIANA LUCENA ALVAREZ,Contratista,2025,5,1,101,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,5,1,202,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,5,7,627,0,0,0,0,0,0,0,0,0,0,0,0
NEWREST SERVICES COLOMBIA S.A.,Contratista,2025,5,14,1435,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT SOLUCIONES INDUSTRIALES S.A,Contratista,2025,5,7,257,0,0,0,0,0,0,0,0,0,0,0,0
PURITYMIZU,Contratista,2025,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2025,5,1,167,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2025,5,5,38,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2025,5,11,1323,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA - ANDINA DE SEGURIDAD DEL VALLE LIMITADA,Contratista,2025,5,24,3805,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIO TECNICO INKJET SAS,Contratista,2025,5,2,35,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS TECNICOS DE EQUIPOS Y MAQUINARIA PE,Contratista,2025,5,3,370,0,0,0,0,0,0,0,0,0,0,0,0
SUMMAR PROCESOS SAS,Contratista,2025,5,44,4386,0,0,0,0,0,0,0,0,0,0,0,0
SUPPLY LOGISTICS S.A.S,Contratista,2025,5,45,4440,1,0,0,0,0,0,0,0,0,0,0,0
TNS INGENIERIA SAS,Contratista,2025,5,10,293,0,0,0,0,0,0,0,0,0,0,0,0
ADECCO,Contratista,2025,6,1,219,0,0,0,0,0,0,0,0,0,0,0,0
ANALQUIM,Contratista,2025,6,2,42,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACIÓN Y PESO SAS,Contratista,2025,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2025,6,14,2298,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,6,4,230,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2025,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2025,6,2,208,0,0,0,0,0,0,0,0,0,0,0,0
ENERGIA Y MAQUINADO LTDA,Contratista,2025,6,7,190,0,0,0,0,0,0,0,0,0,0,0,0
GEINCOR,Contratista,2025,6,7,357,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,6,5,586,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2025,6,2,54,0,0,0,0,0,0,0,0,0,0,0,0
LILIANA LUCENA ALVAREZ,Contratista,2025,6,1,123,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,6,1,200,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,6,9,1085,0,0,0,0,0,0,0,0,0,0,0,0
NEWREST SERVICES COLOMBIA S.A.,Contratista,2025,6,11,1552,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT SOLUCIONES INDUSTRIALES S.A,Contratista,2025,6,7,759,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2025,6,1,154,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2025,6,7,106,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2025,6,12,1154,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA - ANDINA DE SEGURIDAD DEL VALLE LIMITADA,Contratista,2025,6,24,3891,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIO TECNICO INKJET SAS,Contratista,2025,6,2,68,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS TECNICOS DE EQUIPOS Y MAQUINARIA PE,Contratista,2025,6,3,162,1,0,0,0,0,0,0,0,0,0,0,0
SUMMAR PROCESOS SAS,Contratista,2025,6,44,8810,0,0,0,0,0,0,0,0,0,0,0,0
TECNOFUEGO,Contratista,2025,6,3,64,0,0,0,0,0,0,0,0,0,0,0,0
TNS INGENIERIA SAS,Contratista,2025,6,9,457,0,0,0,0,0,0,0,0,0,0,0,0
MAXITEMPO,Contratista,2025,7,27,5184,1,0,0,0,0,1,0,0,0,0,0,0
ADECCO,Contratista,2025,7,1,224,0,0,0,0,0,0,0,0,0,0,0,0
AUTOMATIZACIÓN Y PESO SAS,Contratista,2025,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,7,6,20,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2025,7,16,2980,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,7,5,37,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2025,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2025,7,2,170,0,0,0,0,0,0,0,0,0,0,0,0
CUMMINS DE LOS ANDES SA,Contratista,2025,7,1,23,0,0,0,0,0,0,0,0,0,0,0,0
ENERGIA Y MAQUINADO LTDA,Contratista,2025,7,7,68,0,0,0,0,0,0,0,0,0,0,0,0
EQUISERVICIO DE LA COSTA,Contratista,2025,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0
FAMSER,Contratista,2025,7,3,78,0,0,0,0,0,0,0,0,0,0,0,0
GEINCOR,Contratista,2025,7,6,348,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,7,7,764,0,0,0,0,0,0,0,0,0,0,0,0
GH PUENTE GRUAS,Contratista,2025,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2025,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0
LILIANA LUCENA ALVAREZ,Contratista,2025,7,1,86,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,7,1,200,0,0,0,0,0,0,0,0,0,0,0,0
METROLOGIA GLOBAL,Contratista,2025,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,7,13,2010,0,0,0,0,0,0,0,0,0,0,0,0
NEWREST SERVICES COLOMBIA S.A.,Contratista,2025,7,12,1709,0,0,0,0,0,0,0,0,0,0,0,0
PROELECT SOLUCIONES INDUSTRIALES S.A,Contratista,2025,7,7,896,0,0,0,0,0,0,0,0,0,0,0,0
QUIRONPREVENCION,Contratista,2025,7,1,225,0,0,0,0,0,0,0,0,0,0,0,0
RAMIREZ & SERNA R&S INGENIERIA S.A.S,Contratista,2025,7,6,189,0,0,0,0,0,0,0,0,0,0,0,0
RR MANTENIMIENTOS Y METALMECANICA DE LA COSTA SAS,Contratista,2025,7,15,1537,0,0,0,0,0,0,0,0,0,0,0,0
SEGURIDAD ANDINA - ANDINA DE SEGURIDAD DEL VALLE LIMITADA,Contratista,2025,7,23,3935,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIO TECNICO INKJET SAS,Contratista,2025,7,2,23,0,0,0,0,0,0,0,0,0,0,0,0
SERVICIOS TECNICOS DE EQUIPOS Y MAQUINARIA PE,Contratista,2025,7,3,160,0,0,0,0,0,0,0,0,0,0,0,0
SUMMAR PROCESOS SAS,Contratista,2025,7,43,9030,0,0,0,0,0,0,0,0,0,0,0,0
TNS INGENIERIA SAS,Contratista,2025,7,10,345,0,0,0,0,0,0,0,0,0,0,0,0
MAXITEMPO,Contratista,2025,8,26,4992,0,0,0,0,0,1,0,4,0,0,0,0
ADECCO,Contratista,2025,8,1,196,0,0,0,0,0,0,0,0,0,0,0,0
ARSERCOBE,Contratista,2025,8,3,21,0,0,0,0,0,0,0,0,0,0,0,0
BANDAS SERVICIOS Y MANGUERAS DE LA COSTA SAS,Contratista,2025,8,4,33,0,0,0,0,0,0,0,0,0,0,0,0
BRILLASEO S.A.,Contratista,2025,8,15,2575,0,0,0,0,0,0,0,0,0,0,0,0
CLIMA FRIO RT S.A.S,Contratista,2025,8,6,158,0,0,0,0,0,0,0,0,0,0,0,0
CODIFICACION Y ETIQUETADO,Contratista,2025,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
COLPLAGAS SAS,Contratista,2025,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0
COMPAÑIA DE SEGUROS BOLIVAR SA,Contratista,2025,8,1,118,0,0,0,0,0,0,0,0,0,0,0,0
GEINCOR,Contratista,2025,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
GEOFUTURO SAS ESP,Contratista,2025,8,6,581,0,0,0,0,0,0,0,0,0,0,0,0
ITECO,Contratista,2025,8,4,105,0,0,0,0,0,0,0,0,0,0,0,0
KAESER COMPRESORES DE COLOMBIA SAS,Contratista,2025,8,2,16,0,0,0,0,0,0,0,0,0,0,0,0
MCS COLOMBIA SAS,Contratista,2025,8,1,251,0,0,0,0,0,0,0,0,0,0,0,0
METROLOGIA GLOBAL,Contratista,2025,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
NELEC A&C SAS,Contratista,2025,8,14,2262,0,0,0,0,0,0,0,0,0,0,0,0
NEWREST SERVICES COLOMBIA S.A.,Contratista,2025,8,16,1457,0,0,0,0,0,0,0,0,0,0,0,0
